"MES_CODICE","MES_MITTENTE","MES_DS_CODICE","MES_BINARIO","MES_RICEZIONE","MES_LOTTO","MES_RECORDS","MES_ELABORAZIONE","MES_RISPOSTA","MES_IDENTIFICATIVO","MES_ANTEPRIMA","MES_NOME_FLUSSO","MES_TRANSAZIONE","MES_MES_CODICE","MES_CLIENT","MES_SERVER","MES_DUPLICATO","MES_DESTINATARIO","MES_TIPOLOGIA","MES_ERRORE"
6.715.016,1,27,,2017-01-02 15:35:50,,,2017-01-02 15:35:51,,b8d9d9d7-2b6d-4eb9-a24c-c2f585be62d1,0,,6.692.622,6.715.014,"192.168.40.28:7803",http://192.168.20.110/FedFisMW/services/FedFisMWGen,,5,OUT,
6.715.353,5,13,,2017-01-02 16:12:33,,,2017-01-02 16:12:33,,,0,,6.692.958,,"192.168.40.151","192.168.40.28:7804",,1,IN,
6.715.367,6,10,,2017-01-02 16:14:07,,,2017-01-02 16:14:07,,,0,,6.692.972,,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.715.370,1,15,,2017-01-02 16:14:10,,,2017-01-02 16:14:10,,"3252c9b5-d460-4446-9812-51433c38adcf",0,,6.692.975,6.715.369,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.715.422,1,52,,2017-01-02 16:15:07,,,2017-01-02 16:15:07,,"2235",0,,6.693.027,,"192.168.40.11","192.168.40.28:7802",,1,IN,
6.715.597,1,15,,2017-01-02 16:42:08,,,2017-01-02 16:42:09,,"6869091c-d5ab-4de0-92eb-5c1e6ddbe3b8",0,,6.693.202,6.715.596,"192.168.40.11","192.168.40.28:7803",,1,IN,
6.715.653,1,52,,2017-01-02 16:45:02,,,2017-01-02 16:45:02,,"2229",0,,6.693.258,,"192.168.40.11","192.168.40.28:7802",,1,IN,
6.715.721,1,15,,2017-01-02 16:48:06,,,2017-01-02 16:48:06,,"99e920c0-5075-4ec3-b71e-c93079bef5fc",0,,6.693.326,6.715.720,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.715.794,1,23,,2017-01-02 16:59:59,,,2017-01-02 17:00:08,,a4aced27-c72f-4c39-94fb-224cc83fc71c,0,,6.693.398,6.715.793,"192.168.40.151","192.168.40.28:7804",,1,IN,
6.715.903,9,10,,2017-01-02 17:18:00,,,2017-01-02 17:18:01,,"8bd62e58-e2f7-44ae-8de2-f0149a9130ed",0,,6.693.507,,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.716.347,2,21,,2017-01-02 18:42:06,,,2017-01-02 18:42:07,,"60039",0,,6.693.950,,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.716.375,9,10,,2017-01-02 18:47:45,,,2017-01-02 18:47:46,,"4eb360fc-a9e6-4659-8626-104eb286a31c",0,,6.693.978,,"192.168.40.11","192.168.40.28:7803",,1,IN,
6.716.378,1,27,,2017-01-02 18:47:46,,,2017-01-02 18:47:46,,eeba789a-c2ef-4966-b586-da3d8a80188a,0,,6.693.981,6.716.376,"192.168.40.28:7803",http://192.168.20.110/FedFisMW/services/FedFisMWGen,,5,OUT,
6.716.380,9,10,,2017-01-02 18:48:26,,,2017-01-02 18:48:27,,"366ac455-4a7b-4ff5-acd2-12d663ba8ae3",0,,6.693.983,,"192.168.40.11","192.168.40.28:7803",,1,IN,
6.716.418,5,13,,2017-01-02 18:56:35,,,2017-01-02 18:56:35,,,0,,6.694.020,,"192.168.40.150","192.168.40.28:7804",,1,IN,
6.716.448,6,9,,2017-01-02 19:00:14,,,2017-01-02 19:00:15,,,0,,6.694.050,,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.716.484,5,15,,2017-01-02 19:03:02,,,2017-01-02 19:03:02,,,0,,6.694.086,,"192.168.40.151","192.168.40.28:7804",,1,IN,
6.716.517,11,21,,2017-01-02 19:10:15,,,2017-01-02 19:10:15,,RML-INTE-00000046639C,0,,6.694.119,,"192.168.2.131","192.168.40.28:7803",,1,IN,
6.717.072,9,21,,2017-01-03 00:06:15,,,2017-01-03 00:06:16,,"9984952c-c647-4049-bf13-d955d191c591",0,,6.694.669,,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.717.117,1,27,,2017-01-03 03:09:19,,,2017-01-03 03:09:20,,"0da03b2f-3515-4625-a178-9e10f9b5f937",0,,6.694.711,6.717.115,"192.168.40.28:7803",http://192.168.20.110/FedFisMW/services/FedFisMWGen,,5,OUT,
6.717.144,1,23,,2017-01-03 05:45:37,,,2017-01-03 05:45:52,,d921d333-7ed1-4b38-9e90-1c15cbf0b42e,0,,6.694.736,6.717.143,"192.168.40.151","192.168.40.28:7804",,1,IN,
6.717.163,1,10,,2017-01-03 06:21:29,,,2017-01-03 06:21:29,,,0,,6.694.754,6.717.161,SPQR086,SPQR086,,1,IN,
6.717.204,9,10,,2017-01-03 07:55:33,,,2017-01-03 07:55:34,,"9f12f2cc-71fc-4a10-baca-5ba7e843d02d",0,,6.694.793,,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.717.251,5,18,,2017-01-03 08:15:00,,,2017-01-03 08:15:04,,"75e56570-afa1-469c-bb61-c9657157e5fa",0,,6.694.840,,"192.168.40.150","192.168.40.28:7802",,1,IN,
6.717.314,6,10,,2017-01-03 08:42:28,,,2017-01-03 08:42:28,,,0,,6.694.903,,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.717.608,23,46,,2017-01-03 08:49:00,,,2017-01-03 08:49:00,,CIMETE|3e7ac99d-3ad4-45b5-922a-59a4b9e9c7d2,0,,6.695.197,,"192.168.40.29","192.168.40.28:7803",,1,IN,
6.717.669,23,46,,2017-01-03 08:49:06,,,2017-01-03 08:49:06,,CIMETE|0e84b82c-eccf-4536-981a-a9dc2adfee3b,0,,6.695.258,,"192.168.40.29","192.168.40.28:7803",,1,IN,
6.717.691,23,46,,2017-01-03 08:49:08,,,2017-01-03 08:49:08,,CIMETE|dbee54d7-1664-425a-a6a2-1403f8beccb7,0,,6.695.280,,"192.168.40.29","192.168.40.28:7803",,1,IN,
6.717.723,23,46,,2017-01-03 08:49:13,,,2017-01-03 08:49:13,,CIMETE|7f79ba47-7b09-41ba-898a-35475eb2bcec,0,,6.695.312,,"192.168.40.29","192.168.40.28:7803",,1,IN,
6.717.799,23,46,,2017-01-03 08:49:21,,,2017-01-03 08:49:21,,CIMETE|c18c0797-59c2-4171-ab35-a3305cef053d,0,,6.695.388,,"192.168.40.29","192.168.40.28:7803",,1,IN,
6.717.983,23,46,,2017-01-03 08:50:09,,,2017-01-03 08:50:09,,CIMETE|785a4f9b-bc8e-4e11-aed0-59c228a3c950,0,,6.695.572,,"192.168.40.29","192.168.40.28:7803",,1,IN,
6.718.284,9,10,,2017-01-03 09:16:48,,,2017-01-03 09:16:49,,b4e97328-4732-4484-a480-91444651a328,0,,6.695.872,,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.718.401,6,10,,2017-01-03 09:30:20,,,2017-01-03 09:30:21,,,0,,6.695.989,,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.718.484,1,52,,2017-01-03 09:32:09,,,2017-01-03 09:32:09,,"2245",0,,6.696.072,,"192.168.40.10","192.168.40.28:7802",,1,IN,
6.718.612,6,10,,2017-01-03 09:38:49,,,2017-01-03 09:38:50,,,0,,6.696.200,,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.718.672,23,46,,2017-01-03 09:43:34,,,2017-01-03 09:43:34,,CIMETE|ed309774-cb0c-422a-b8cc-fb5761d50633,0,,6.696.260,,"192.168.40.29","192.168.40.28:7803",,1,IN,
6.718.864,23,46,,2017-01-03 09:51:25,,,2017-01-03 09:51:25,,CIMETE|db32cac7-46cb-4de1-a931-3aa071abe3de,0,,6.696.452,,"192.168.40.29","192.168.40.28:7803",,1,IN,
6.718.948,1,26,,2017-01-03 09:56:27,,,2017-01-03 09:56:33,,d6462e08-c686-4e65-a0f6-efafe9674c4e,0,,6.696.535,6.718.947,"192.168.40.28:7804",http://192.168.2.131/SIR/Contravvenzioni/SistemaArea.asmx,,11,OUT,
6.718.958,6,9,,2017-01-03 09:57:04,,,2017-01-03 09:57:05,,,0,,6.696.545,,"192.168.40.11","192.168.40.28:7803",,1,IN,
6.718.960,6,9,,2017-01-03 09:57:19,,,2017-01-03 09:57:19,,,0,,6.696.547,,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.719.248,5,15,,2017-01-03 10:21:59,,,2017-01-03 10:22:00,,,0,,6.696.835,,"192.168.40.151","192.168.40.28:7804",,1,IN,
6.719.396,6,9,,2017-01-03 10:31:13,,,2017-01-03 10:31:13,,,0,,6.696.983,,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.719.460,6,9,,2017-01-03 10:35:12,,,2017-01-03 10:35:12,,,0,,6.697.047,,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.719.498,6,10,,2017-01-03 10:38:41,,,2017-01-03 10:38:42,,,0,,6.697.085,,"192.168.40.11","192.168.40.28:7803",,1,IN,
6.720.042,1,10,,2017-01-03 11:19:39,,,2017-01-03 11:19:39,,,0,,6.697.628,6.720.041,SPQR086,SPQR086,,1,IN,
6.720.135,23,46,,2017-01-03 11:23:05,,,2017-01-03 11:23:06,,CIMETE|265332b8-b3e6-4444-95ba-2493994d0ec4,0,,6.697.721,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.720.245,1,25,,2017-01-03 11:28:23,,,2017-01-03 11:28:24,,"89636ba1-01e3-4872-ae97-2257532dde61",0,,6.697.831,6.720.244,"192.168.40.28:7803",http://192.168.20.107/mesis-posizioni-creditorie-wsrouter/SistemaArea,,2,OUT,
6.720.688,23,46,,2017-01-03 11:49:50,,,2017-01-03 11:49:51,,CIMETE|cacc502b-d9b1-4d5c-962a-d1acaeadf1b3,0,,6.698.274,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.720.714,23,46,,2017-01-03 11:49:53,,,2017-01-03 11:49:53,,CIMETE|2f44f062-ab97-41e1-97f9-267bd3106e27,0,,6.698.300,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.720.811,23,46,,2017-01-03 11:50:03,,,2017-01-03 11:50:03,,CIMETE|9e90e60a-d7bd-4afb-bdb4-112e05ab1d71,0,,6.698.397,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.720.846,5,15,,2017-01-03 11:50:06,,,2017-01-03 11:50:13,,,0,,6.698.432,,"192.168.40.151","192.168.40.28:7804",,1,IN,
6.720.858,23,46,,2017-01-03 11:50:07,,,2017-01-03 11:50:07,,CIMETE|08bd3862-b902-49d8-9636-0c405fbc7ca9,0,,6.698.444,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.720.958,23,46,,2017-01-03 11:50:17,,,2017-01-03 11:50:17,,CIMETE|0c136980-4056-4a2c-857b-82e2d88da9e8,0,,6.698.544,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.720.968,23,46,,2017-01-03 11:50:18,,,2017-01-03 11:50:18,,CIMETE|bf38778d-ab69-4d71-95aa-d42a058df142,0,,6.698.554,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.720.971,23,46,,2017-01-03 11:50:19,,,2017-01-03 11:50:19,,CIMETE|a1d4c48f-a7d8-4c9c-8966-d9bb4e116c0b,0,,6.698.557,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.721.059,23,46,,2017-01-03 11:50:27,,,2017-01-03 11:50:27,,CIMETE|cfd404b8-8d40-4df9-aa83-802ab1f7b2b7,0,,6.698.645,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.721.115,23,46,,2017-01-03 11:50:32,,,2017-01-03 11:50:32,,CIMETE|ef985ae0-daf7-4aed-9969-38995d6f5191,0,,6.698.701,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.721.352,23,46,,2017-01-03 11:50:56,,,2017-01-03 11:50:56,,CIMETE|e7627dcf-6cff-46d1-8879-3541f07ac388,0,,6.698.938,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.721.657,23,46,,2017-01-03 11:51:26,,,2017-01-03 11:51:26,,CIMETE|f4a5ff02-a77b-4fdf-986e-b1ae852c9aa4,0,,6.699.243,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.721.791,23,45,,2017-01-03 11:51:38,,,2017-01-03 11:51:38,,CIMETE|455e4121-9ed2-4dde-825c-66c7b2c34e3e,0,,6.699.377,,"192.168.40.29","192.168.40.28:7803",,1,IN,
6.721.826,6,10,,2017-01-03 11:51:41,,,2017-01-03 11:51:42,,,0,,6.699.412,,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.721.914,23,46,,2017-01-03 11:51:51,,,2017-01-03 11:51:51,,CIMETE|a51b2dba-9fdc-4551-82de-4a80feba1ea9,0,,6.699.500,,"192.168.40.29","192.168.40.28:7803",,1,IN,
6.722.079,23,46,,2017-01-03 11:52:17,,,2017-01-03 11:52:17,,CIMETE|c5efc915-0728-46ca-972b-37b78a07b38f,0,,6.699.665,,"192.168.40.29","192.168.40.28:7803",,1,IN,
6.722.159,23,46,,2017-01-03 11:52:25,,,2017-01-03 11:52:25,,CIMETE|12787e0c-a796-4faf-8d65-74484d3df423,0,,6.699.745,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.722.255,23,46,,2017-01-03 11:52:35,,,2017-01-03 11:52:35,,CIMETE|6d7186bd-1e4d-4f9e-9ae5-f8d312c7307b,0,,6.699.841,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.722.282,23,46,,2017-01-03 11:52:37,,,2017-01-03 11:52:37,,CIMETE|51af0657-51a7-4711-aed4-276a37877065,0,,6.699.868,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.722.474,23,46,,2017-01-03 11:52:56,,,2017-01-03 11:52:56,,CIMETE|e2df326b-d4f3-4dc8-9965-fe574a01a67e,0,,6.700.060,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.722.526,23,46,,2017-01-03 11:53:02,,,2017-01-03 11:53:02,,CIMETE|24facc25-30f5-44f1-9849-7778d647fd95,0,,6.700.111,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.722.559,23,46,,2017-01-03 11:53:06,,,2017-01-03 11:53:06,,CIMETE|6edaf142-3e46-445d-908e-42572f24285e,0,,6.700.144,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.722.563,23,46,,2017-01-03 11:53:06,,,2017-01-03 11:53:06,,CIMETE|0822ebd9-1b07-48e4-90da-b13eb7239028,0,,6.700.148,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.722.574,23,46,,2017-01-03 11:53:07,,,2017-01-03 11:53:07,,CIMETE|c93507e6-12b4-4399-a7dc-67037fcf6494,0,,6.700.159,,"192.168.40.29","192.168.40.28:7803",,1,IN,
6.722.829,23,46,,2017-01-03 11:56:07,,,2017-01-03 11:56:07,,CIMETE|591f180c-e07c-4024-95d8-c425af8bbf5b,0,,6.700.414,,"192.168.40.29","192.168.40.28:7803",,1,IN,
6.723.289,23,46,,2017-01-03 11:56:57,,,2017-01-03 11:56:57,,CIMETE|eedc4f53-fd56-40db-b781-a4700ac02328,0,,6.700.874,,"192.168.40.29","192.168.40.28:7803",,1,IN,
6.723.413,23,46,,2017-01-03 11:57:08,,,2017-01-03 11:57:08,,CIMETE|8dc61ab6-96b6-4389-ae0a-6e38efc10e05,0,,6.700.998,,"192.168.40.29","192.168.40.28:7803",,1,IN,
6.723.438,23,46,,2017-01-03 11:57:11,,,2017-01-03 11:57:11,,CIMETE|4ec907d5-62ba-4235-9d00-b9da3ebc9c3b,0,,6.701.023,,"192.168.40.29","192.168.40.28:7803",,1,IN,
6.723.493,23,46,,2017-01-03 11:57:16,,,2017-01-03 11:57:16,,CIMETE|5c64126d-fc19-4777-bcfc-1f4241bd3bcb,0,,6.701.078,,"192.168.40.29","192.168.40.28:7803",,1,IN,
6.723.669,5,13,,2017-01-03 11:57:45,,,2017-01-03 11:57:45,,,0,,6.701.254,,"192.168.40.150","192.168.40.28:7804",,1,IN,
6.723.929,6,10,,2017-01-03 12:14:02,,,2017-01-03 12:14:05,,,0,,6.701.514,,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.724.011,23,46,,2017-01-03 12:15:38,,,2017-01-03 12:15:38,,SUPERVISOR|82c2f4c1-8da0-4601-b39a-16d53c0d528a,0,,6.701.596,,"192.168.40.29","192.168.40.28:7803",,1,IN,
6.724.053,23,46,,2017-01-03 12:15:45,,,2017-01-03 12:15:45,,SUPERVISOR|7b05bf16-af09-4565-8bc0-46917c76026b,0,,6.701.638,,"192.168.40.29","192.168.40.28:7803",,1,IN,
6.724.159,23,46,,2017-01-03 12:15:58,,,2017-01-03 12:15:58,,CIMETE|b1faf3a1-a0f5-4f49-ac1f-00393cec79b3,0,,6.701.744,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.724.183,23,46,,2017-01-03 12:16:01,,,2017-01-03 12:16:01,,CIMETE|609cb6ac-2e1b-4775-b9e2-250a17cbcc9c,0,,6.701.768,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.724.195,23,46,,2017-01-03 12:16:02,,,2017-01-03 12:16:02,,CIMETE|b7066773-4f50-4162-89dc-528a4246fbb7,0,,6.701.780,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.724.220,23,46,,2017-01-03 12:16:05,,,2017-01-03 12:16:05,,CIMETE|a656c5e3-57e2-4ba5-8de6-51fbf29c9842,0,,6.701.805,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.724.248,23,46,,2017-01-03 12:16:24,,,2017-01-03 12:16:24,,CIMETE|a1e351ba-4849-475d-9ba6-9177c49848cb,0,,6.701.833,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.724.419,23,46,,2017-01-03 12:16:38,,,2017-01-03 12:16:39,,CIMETE|080696f4-296a-472c-be41-c877e1906fd7,0,,6.702.004,,"192.168.40.30","192.168.40.28:7803",,1,IN,
6.724.452,23,46,,2017-01-03 12:16:41,,,2017-01-03 12:16:42,,SUPERVISOR|d7292834-78b8-473d-b96c-3ca0061fd71c,0,,6.702.037,,"192.168.40.29","192.168.40.28:7803",,1,IN,
6.724.751,1,22,,2017-01-03 12:30:25,,,2017-01-03 12:30:26,,,0,,6.702.336,,"192.168.40.11","192.168.40.28:7803",,1,IN,
6.724.784,6,9,,2017-01-03 12:31:56,,,2017-01-03 12:31:56,,,0,,6.702.369,,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.724.810,1,15,,2017-01-03 12:33:23,,,2017-01-03 12:33:23,,"76bbce50-0207-4fa0-bf87-a2b3db11d55e",0,,6.702.395,6.724.809,"192.168.2.131","192.168.40.28:7803",,1,IN,
6.724.962,1,23,,2017-01-03 12:42:13,,,2017-01-03 12:42:20,,f2669ce3-a8da-466b-90e0-ce36661e3d1d,0,,6.702.547,6.724.961,"192.168.40.151","192.168.40.28:7804",,1,IN,
6.725.021,5,13,,2017-01-03 12:45:36,,,2017-01-03 12:45:36,,,0,,6.702.606,,"192.168.40.150","192.168.40.28:7804",,1,IN,
6.725.065,1,10,,2017-01-03 12:48:48,,,2017-01-03 12:48:48,,,0,,6.702.650,6.725.012,SPQR086,SPQR086,,1,IN,
6.725.100,11,10,,2017-01-03 12:51:19,,,2017-01-03 12:51:19,,RML-R30P-00000046698B,0,,6.702.685,,"192.168.2.131","192.168.40.28:7803",6.718.981,1,IN,
6.725.187,1,27,,2017-01-03 12:56:33,,,2017-01-03 12:56:33,,ce8fe6c2-58aa-4996-b6dc-6e964fc610fd,0,,6.702.771,6.725.185,"192.168.40.28:7803",http://192.168.20.110/FedFisMW/services/FedFisMWGen,,5,OUT,
6.725.292,11,10,,2017-01-03 13:06:54,,,2017-01-03 13:06:54,,RML-R30P-00000046706B,0,,6.702.876,,"192.168.2.131","192.168.40.28:7803",6.719.972,1,IN,
6.725.352,6,9,,2017-01-03 13:16:17,,,2017-01-03 13:16:17,,,0,,6.702.936,,"192.168.40.10","192.168.40.28:7803",,1,IN,
6.725.459,1,10,,2017-01-03 13:39:34,,,2017-01-03 13:39:35,,,0,,6.703.043,6.725.458,SPQR086,SPQR086,,1,IN,
6.725.550,1,26,,2017-01-03 14:04:45,,,2017-01-03 14:04:46,,d8b7523e-2f0e-4688-98ce-194774d731c8,0,,6.703.133,6.725.549,"192.168.40.28:7804",http://192.168.2.131/SIR/Contravvenzioni/SistemaArea.asmx,,11,OUT,
6.725.594,9,10,,2017-01-03 14:07:59,,,2017-01-03 14:07:59,,"76937d44-928b-4497-aa8b-9b4cbf7cf690",0,,6.703.177,,"192.168.40.11","192.168.40.28:7803",,1,IN,
6.725.801,11,21,,2017-01-03 14:25:23,,,2017-01-03 14:25:23,,RML-INTE-00000046712C,0,,6.703.384,,"192.168.2.131","192.168.40.28:7803",,1,IN,
6.725.934,23,45,,2017-01-03 14:26:14,,,2017-01-03 14:26:14,,CIMETE|8fa26512-89f7-4d4c-b07e-c48bf78b0966,0,,6.703.517,,"192.168.40.29","192.168.40.28:7803",,1,IN,
